Download Winning Numbers from www.calottery.com on 10/20/2018 2:35:06 PM for MEGA MILLIONS

Draw #     Draw Date             Number_1    Number_2    Number_3    Number_4    Number_5     Mega
------  -----------------        --------    --------    --------    --------    --------    ------

1391     Fri. Oct 19, 2018          65          53          23          15          70          7     
1390     Tue. Oct 16, 2018          69          45          61          3          49          9     
1389     Fri. Oct 12, 2018          70          24          46          4          61          7     
1388     Tue. Oct 09, 2018          54          22          39          20          60          18     
1387     Fri. Oct 05, 2018          41          32          27          69          28          12     
1386     Tue. Oct 02, 2018          2          29          34          31          22          1     
1385     Fri. Sep 28, 2018          39          56          45          52          59          15     
1384     Tue. Sep 25, 2018          48          32          8          61          16          12     
1383     Fri. Sep 21, 2018          11          52          64          2          1          9     
1382     Tue. Sep 18, 2018          43          32          31          63          68          17     
1381     Fri. Sep 14, 2018          40          66          23          30          43          13     
1380     Tue. Sep 11, 2018          62          51          15          30          67          19     
1379     Fri. Sep 07, 2018          8          68          10          54          41          10     
1378     Tue. Sep 04, 2018          2          25          44          35          7          3     
1377     Fri. Aug 31, 2018          7          18          45          32          29          17     
1376     Tue. Aug 28, 2018          33          34          20          3          41          20     
1375     Fri. Aug 24, 2018          6          1          18          13          49          8     
1374     Tue. Aug 21, 2018          57          38          19          14          16          11     
1373     Fri. Aug 17, 2018          47          32          1          56          31          3     
1372     Tue. Aug 14, 2018          44          26          11          45          46          11     
1371     Fri. Aug 10, 2018          3          42          22          12          1          6     
1370     Tue. Aug 07, 2018          13          21          62          2          15          2     
1369     Fri. Aug 03, 2018          30          60          28          54          9          2     
1368     Tue. Jul 31, 2018          35          64          15          69          12          9     
1367     Fri. Jul 27, 2018          49          1          63          40          32          20     
1366     Tue. Jul 24, 2018          19          2          4          1          29          20     
1365     Fri. Jul 20, 2018          44          14          30          62          1          1     
1364     Tue. Jul 17, 2018          61          40          66          67          41          12     
1363     Fri. Jul 13, 2018          39          22          68          21          59          2     
1362     Tue. Jul 10, 2018          28          56          70          1          17          14     
1361     Fri. Jul 06, 2018          56          50          46          2          10          16     
